sku,url_key,meta_title,meta_keywords,meta_description
VA11-GO-NA,carmina-earrings,Carmina Earrings,"Gold,14K Gold",Gold & coral chandelier earrings. 2.5 inch length. 18K gold. Fish hook style. 
VA12-SI-NA,augusta-earrings,Augusta Earrings,"Silver,Sterling Silver",Silver & aqua chandelier earrings. 2.5 inch length. Sterling silver. Fish hook style. 
VA13-GO-NA,carmina-necklace,Carmina Necklace,"Gold,14K Gold",A medley of brightly colored glass seed beads. 20 inch length. Goldtone. Lobster clasp. 
VA14-SI-NA,augusta-necklace,Augusta Necklace,"Silver,Sterling Silver",A medley of brightly colored glass seed beads. 20 inch length. Silvertone. Lobster clasp. 
VA15-SI-NA,silver-sol-earrings,Silver Sol Earrings,"Silver,Sterling Silver","Simple, elegant silver stud earrings.  3/8 inch diameter . Sterling silver. Post back. "
VA16-GO-NA,gold-sol-earrings,Gold Sol Earrings,"Gold,14K Gold","Simple, elegant gold stud earrings. 3/8 inch diameter . 18K gold. Post back. "
VA17-SI-NA,silver-cirque-earrings,Silver Cirque Earrings,"Silver,Sterling Silver","Simple, silver hoop earrings complement every outfit without feeling overstated.  1.5 inch diameter. Silver-plated. Snap-top closure. "
VA18-GO-NA,gold-cirque-earrings,Gold Cirque Earrings,"Gold,14K Gold","Simple, gold hoop earrings complement every outfit without feeling overstated.  1.5 inch diameter. 14K gold. Snap-top closure. "
VA19-GO-NA,gold-omni-bangle-set,Gold Omni Bangle Set,"Gold,14K Gold","Made for mixing & matching, these bangles can be worn simply or with additional bracelets for more advanced accessorizing.  Set of 8. 7 inch diameter. 14K gold. "
VA20-SI-NA,semper-bangle-set,Semper Bangle Set,"Silver,14K Gold","Made for mixing & matching, these bangles can be worn simply or with additional bracelets for more advanced accessorizing.  Set of 20. 7 inch diameter. 14K gold. "
VA21-GO-NA,gold-veritas-cuff-set,Gold Veritas Cuff Set,"Gold,14K Gold","Made for mixing & matching, these bangles can be worn simply or with additional bracelets for more advanced accessorizing.  Set of 2. 6.5 inch diameter. 14K gold, onyx, turquoise. "
VA22-SI-NA,silver-amor-bangle-set,Silver Amor Bangle Set,"Silver,Sterling Silver","Made for mixing & matching, these bangles can be worn simply or with additional bracelets for more advanced accessorizing.  Set of 4. 7.5 inch diameter. Sterling Silver. "
